Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
12/16/2006 17:24,4.216,0.418,234.84,18.4,0,1,17
12/16/2006 17:25,5.36,0.436,233.63,23,0,1,16
12/16/2006 17:26,5.374,0.498,233.29,23,0,2,17
12/16/2006 17:27,5.388,0.502,233.74,23,0,1,17
12/16/2006 17:28,3.666,0.528,235.68,15.8,0,1,17
12/16/2006 17:29,3.52,0.522,235.02,15,0,2,17
12/16/2006 17:30,3.702,0.52,235.09,15.8,0,1,17
12/16/2006 17:31,3.7,0.52,235.22,15.8,0,1,17
12/16/2006 17:32,3.668,0.51,233.99,15.8,0,1,17
12/16/2006 17:33,3.662,0.51,233.86,15.8,0,2,16
12/16/2006 17:34,4.448,0.498,232.86,19.6,0,1,17
12/16/2006 17:35,5.412,0.47,232.78,23.2,0,1,17
12/16/2006 17:36,5.224,0.478,232.99,22.4,0,1,16
12/16/2006 17:37,5.268,0.398,232.91,22.6,0,2,17
12/16/2006 17:38,4.054,0.422,235.24,17.6,0,1,17
12/16/2006 17:39,3.384,0.282,237.14,14.2,0,0,17
12/16/2006 17:40,3.27,0.152,236.73,13.8,0,0,17
12/16/2006 17:41,3.43,0.156,237.06,14.4,0,0,17
12/16/2006 17:42,3.266,0,237.13,13.8,0,0,18
12/16/2006 17:43,3.728,0,235.84,16.4,0,0,17
12/16/2006 17:44,5.894,0,232.69,25.4,0,0,16
12/16/2006 17:45,7.706,0,230.98,33.2,0,0,17
12/16/2006 17:46,7.026,0,232.21,30.6,0,0,16
12/16/2006 17:47,5.174,0,234.19,22,0,0,17
12/16/2006 17:48,4.474,0,234.96,19.4,0,0,17
12/16/2006 17:49,3.248,0,236.66,13.6,0,0,17
12/16/2006 17:50,3.236,0,235.84,13.6,0,0,17
12/16/2006 17:51,3.228,0,235.6,13.6,0,0,17
12/16/2006 17:52,3.258,0,235.49,13.8,0,0,17
12/16/2006 17:53,3.178,0,235.28,13.4,0,0,17
12/16/2006 17:54,2.72,0,235.06,11.6,0,0,17
12/16/2006 17:55,3.758,0.076,234.17,16.4,0,0,17
12/16/2006 17:56,4.342,0.09,233.77,18.4,0,0,16
12/16/2006 17:57,4.512,0,233.62,19.2,0,0,17
12/16/2006 17:58,4.058,0.2,234.68,17.6,0,0,17
12/16/2006 17:59,2.472,0.058,236.94,10.4,0,0,17
12/16/2006 18:00,2.79,0.18,237.52,11.8,0,0,18
12/16/2006 18:01,2.624,0.144,238.2,11,0,0,17
12/16/2006 18:02,2.772,0.118,238.28,11.6,0,0,17
12/16/2006 18:03,3.74,0.108,236.93,16.4,0,16,18
12/16/2006 18:04,4.928,0.202,235.01,21,0,37,16
12/16/2006 18:05,6.052,0.192,232.93,26.2,0,37,17
12/16/2006 18:06,6.752,0.186,232.12,29,0,36,17
12/16/2006 18:07,6.474,0.144,231.85,27.8,0,37,16
12/16/2006 18:08,6.308,0.116,232.25,27,0,36,17
12/16/2006 18:09,4.464,0.136,234.66,19,0,37,16
12/16/2006 18:10,3.396,0.148,236.2,15,0,22,18
12/16/2006 18:11,3.09,0.152,237.07,13.8,0,12,17
12/16/2006 18:12,3.73,0.144,235.78,16.4,0,27,17
12/16/2006 18:13,2.308,0.16,237.43,9.6,0,1,17
